"ActivityLabel" "Subject" "tBodyAccmeanX" "tBodyAccmeanY" "tBodyAccmeanZ" "tBodyAccstdX" "tBodyAccstdY" "tBodyAccstdZ" "tGravityAccmeanX" "tGravityAccmeanY" "tGravityAccmeanZ" "tGravityAccstdX" "tGravityAccstdY" "tGravityAccstdZ" "tBodyAccJerkmeanX" "tBodyAccJerkmeanY" "tBodyAccJerkmeanZ" "tBodyAccJerkstdX" "tBodyAccJerkstdY" "tBodyAccJerkstdZ" "tBodyGyromeanX" "tBodyGyromeanY" "tBodyGyromeanZ" "tBodyGyrostdX" "tBodyGyrostdY" "tBodyGyrostdZ" "tBodyGyroJerkmeanX" "tBodyGyroJerkmeanY" "tBodyGyroJerkmeanZ" "tBodyGyroJerkstdX" "tBodyGyroJerkstdY" "tBodyGyroJerkstdZ" "tBodyAccMagmean" "tBodyAccMagstd" "tGravityAccMagmean" "tGravityAccMagstd" "tBodyAccJerkMagmean" "tBodyAccJerkMagstd" "tBodyGyroMagmean" "tBodyGyroMagstd" "tBodyGyroJerkMagmean" "tBodyGyroJerkMagstd" "fBodyAccmeanX" "fBodyAccmeanY" "fBodyAccmeanZ" "fBodyAccstdX" "fBodyAccstdY" "fBodyAccstdZ" "fBodyAccJerkmeanX" "fBodyAccJerkmeanY" "fBodyAccJerkmeanZ" "fBodyAccJerkstdX" "fBodyAccJerkstdY" "fBodyAccJerkstdZ" "fBodyGyromeanX" "fBodyGyromeanY" "fBodyGyromeanZ" "fBodyGyrostdX" "fBodyGyrostdY" "fBodyGyrostdZ" "fBodyAccMagmean" "fBodyAccMagstd" "fBodyBodyAccJerkMagmean" "fBodyBodyAccJerkMagstd" "fBodyBodyGyroMagmean" "fBodyBodyGyroMagstd" "fBodyBodyGyroJerkMagmean" "fBodyBodyGyroJerkMagstd"
"LAYING" 1 0.2216 -0.0405 -0.1132 -0.9281 -0.8368 -0.8261 -0.2489 0.7055 0.4458 -0.8968 -0.9077 -0.8524 0.0811 0.0038 0.0108 -0.9585 -0.9241 -0.9549 -0.0166 -0.0645 0.1487 -0.8735 -0.9511 -0.9083 -0.1073 -0.0415 -0.0741 -0.9186 -0.9679 -0.9578 -0.8419 -0.7951 -0.8419 -0.7951 -0.9544 -0.9282 -0.8748 -0.819 -0.9635 -0.9358 -0.9391 -0.8671 -0.8827 -0.9244 -0.8336 -0.8129 -0.9571 -0.9225 -0.9481 -0.9642 -0.9322 -0.9606 -0.8502 -0.9522 -0.9093 -0.8823 -0.9512 -0.9166 -0.8618 -0.7983 -0.9333 -0.9218 -0.8622 -0.8243 -0.9424 -0.9327
"LAYING" 2 0.2814 -0.0182 -0.1072 -0.9741 -0.9803 -0.9842 -0.5098 0.7525 0.6468 -0.959 -0.9882 -0.9842 0.0826 0.0123 -0.0018 -0.9859 -0.9832 -0.9884 -0.0185 -0.1118 0.1449 -0.9883 -0.9823 -0.9603 -0.102 -0.0359 -0.0702 -0.9932 -0.9896 -0.988 -0.9774 -0.9729 -0.9774 -0.9729 -0.9877 -0.9855 -0.95 -0.9612 -0.9918 -0.9897 -0.9767 -0.9798 -0.9844 -0.9732 -0.981 -0.9848 -0.9858 -0.9828 -0.9862 -0.9873 -0.985 -0.9893 -0.9864 -0.9833 -0.9627 -0.9889 -0.9819 -0.9632 -0.9751 -0.9751 -0.9854 -0.9846 -0.9721 -0.9611 -0.9902 -0.9895
"LAYING" 3 0.2755 -0.019 -0.1013 -0.9828 -0.9621 -0.9637 -0.2418 0.837 0.4887 -0.9825 -0.9812 -0.9648 0.077 0.0138 -0.0044 -0.9809 -0.9687 -0.9821 -0.0208 -0.0719 0.138 -0.9745 -0.9773 -0.9635 -0.1 -0.039 -0.0687 -0.9803 -0.9868 -0.9833 -0.9728 -0.9642 -0.9728 -0.9642 -0.9795 -0.9761 -0.9516 -0.9543 -0.9867 -0.9831 -0.9807 -0.9612 -0.9683 -0.9837 -0.9641 -0.9633 -0.9805 -0.9688 -0.9791 -0.9831 -0.971 -0.9837 -0.9702 -0.9781 -0.9623 -0.976 -0.977 -0.9673 -0.9655 -0.9684 -0.9759 -0.9753 -0.9646 -0.9554 -0.9843 -0.9826
"LAYING" 4 0.2636 -0.015 -0.1107 -0.9542 -0.9417 -0.9627 -0.4207 0.9152 0.3415 -0.9212 -0.9698 -0.9762 0.0934 0.0069 -0.0064 -0.9783 -0.9422 -0.9785 -0.0092 -0.093 0.1697 -0.9731 -0.9611 -0.9621 -0.105 -0.0381 -0.0712 -0.9751 -0.9869 -0.984 -0.9546 -0.9313 -0.9546 -0.9313 -0.9701 -0.9608 -0.9302 -0.947 -0.9851 -0.9827 -0.9588 -0.9389 -0.9675 -0.9525 -0.9464 -0.9622 -0.9785 -0.944 -0.9754 -0.9801 -0.9444 -0.9803 -0.9672 -0.9722 -0.9615 -0.9751 -0.9562 -0.9658 -0.9394 -0.9372 -0.9623 -0.958 -0.9616 -0.9471 -0.9836 -0.9825
"LAYING" 5 0.2783 -0.0183 -0.1079 -0.9659 -0.9693 -0.9686 -0.4835 0.9549 0.2636 -0.9457 -0.986 -0.9771 0.0848 0.0075 -0.003 -0.9833 -0.9646 -0.9854 -0.0219 -0.0799 0.1599 -0.9795 -0.9774 -0.9606 -0.1021 -0.0404 -0.0708 -0.9834 -0.9838 -0.9897 -0.9668 -0.9586 -0.9668 -0.9586 -0.9801 -0.9775 -0.9469 -0.9583 -0.9864 -0.9838 -0.9687 -0.9654 -0.977 -0.965 -0.9729 -0.9659 -0.9827 -0.9653 -0.9833 -0.9856 -0.9662 -0.9861 -0.9758 -0.9782 -0.9632 -0.9807 -0.9773 -0.9633 -0.9622 -0.9625 -0.9774 -0.9764 -0.9683 -0.9593 -0.9846 -0.9834
"LAYING" 6 0.2487 -0.0103 -0.1331 -0.934 -0.9246 -0.9252 -0.4767 0.9566 0.1759 -0.8877 -0.9592 -0.9281 0.0963 -0.0011 0.0033 -0.9663 -0.9337 -0.9596 -0.008 -0.1072 0.1791 -0.9554 -0.9436 -0.9391 -0.1113 -0.0424 -0.0718 -0.9396 -0.9586 -0.9596 -0.9189 -0.8973 -0.9189 -0.8973 -0.9548 -0.9503 -0.909 -0.9209 -0.9556 -0.9532 -0.9391 -0.9237 -0.938 -0.9325 -0.9297 -0.924 -0.9671 -0.936 -0.9544 -0.9686 -0.9357 -0.9636 -0.9354 -0.9418 -0.9326 -0.9622 -0.9454 -0.9471 -0.9124 -0.9054 -0.9487 -0.9516 -0.9302 -0.9287 -0.9537 -0.9555
"LAYING" 7 0.2502 -0.0204 -0.1014 -0.9365 -0.9263 -0.953 -0.5028 0.3934 0.9075 -0.9142 -0.9555 -0.9619 0.0969 0.0251 -0.0132 -0.981 -0.9731 -0.973 -0.0028 -0.1336 0.1559 -0.9601 -0.9451 -0.9553 -0.1059 -0.0359 -0.0672 -0.9738 -0.9765 -0.9889 -0.9364 -0.907 -0.9364 -0.907 -0.9801 -0.9673 -0.9158 -0.9187 -0.983 -0.9712 -0.9534 -0.9422 -0.9586 -0.9311 -0.9229 -0.9534 -0.9804 -0.9725 -0.9695 -0.9836 -0.9759 -0.9751 -0.9537 -0.9576 -0.9569 -0.9623 -0.9397 -0.9589 -0.928 -0.9105 -0.9681 -0.9654 -0.9411 -0.9189 -0.9741 -0.9694
"LAYING" 8 0.2613 -0.0212 -0.1022 -0.943 -0.9349 -0.9325 -0.4059 0.5899 0.7198 -0.9189 -0.958 -0.9418 0.0878 0.0233 -0.0169 -0.9733 -0.9765 -0.9661 0.0054 -0.0891 0.1382 -0.9652 -0.952 -0.9676 -0.1064 -0.039 -0.0694 -0.9699 -0.9742 -0.9876 -0.9353 -0.9133 -0.9353 -0.9133 -0.9731 -0.963 -0.9243 -0.9325 -0.9784 -0.969 -0.9535 -0.9518 -0.9443 -0.9401 -0.9312 -0.9311 -0.9731 -0.9759 -0.9621 -0.976 -0.9792 -0.9687 -0.9579 -0.9574 -0.9675 -0.9678 -0.9503 -0.9707 -0.9323 -0.9173 -0.9618 -0.9638 -0.9445 -0.9368 -0.9684 -0.9718
"LAYING" 9 0.2592 -0.0205 -0.1075 -0.9423 -0.9163 -0.9407 -0.5803 -0.1192 0.9579 -0.9218 -0.97 -0.9712 0.0881 0.0116 -0.0071 -0.9647 -0.964 -0.9586 -0.0136 -0.1589 0.1013 -0.9422 -0.9266 -0.9616 -0.1038 -0.0276 -0.0569 -0.9453 -0.9622 -0.9771 -0.9309 -0.9151 -0.9309 -0.9151 -0.9634 -0.955 -0.9071 -0.8986 -0.9645 -0.9528 -0.9469 -0.9344 -0.9459 -0.941 -0.9128 -0.942 -0.9643 -0.9641 -0.9559 -0.9686 -0.9666 -0.9597 -0.9303 -0.9346 -0.9598 -0.9464 -0.9231 -0.9657 -0.9266 -0.9219 -0.9543 -0.9551 -0.9186 -0.9034 -0.9558 -0.9523
"LAYING" 10 0.2802 -0.0243 -0.1172 -0.9683 -0.9465 -0.9595 -0.4531 -0.1393 -0.0311 -0.9545 -0.9667 -0.963 0.0738 0.0157 0.0072 -0.978 -0.9669 -0.9763 -0.0196 -0.077 0.1047 -0.9617 -0.9537 -0.9719 -0.1003 -0.0389 -0.0591 -0.9659 -0.9666 -0.9839 -0.9568 -0.9403 -0.9568 -0.9403 -0.9762 -0.9676 -0.9376 -0.9275 -0.9708 -0.9596 -0.9692 -0.9543 -0.9643 -0.968 -0.9462 -0.9598 -0.979 -0.968 -0.9726 -0.9789 -0.9681 -0.9786 -0.9538 -0.9547 -0.9698 -0.9645 -0.9535 -0.9753 -0.9508 -0.9443 -0.9686 -0.9654 -0.9377 -0.9337 -0.961 -0.9608
